param_name,fisher_value,zone,dataset
model.layers.19.self_attn.q_proj.weight,0.0021902827650895538,C,gsm8k
model.layers.19.mlp.gate_proj.weight,0.0021804844674685833,C,gsm8k
model.layers.13.mlp.down_proj.weight,0.0021792848647237406,C,gsm8k
model.layers.18.mlp.down_proj.weight,0.002172010249220572,C,gsm8k
model.layers.17.mlp.down_proj.weight,0.0021711226819813114,C,gsm8k
model.layers.20.mlp.down_proj.weight,0.0021704725475804785,C,gsm8k
model.layers.24.self_attn.q_proj.weight,0.002165754129994942,C,gsm8k
model.layers.21.mlp.gate_proj.weight,0.002163758867633684,C,gsm8k
model.layers.16.mlp.down_proj.weight,0.0021574446180541904,C,gsm8k
model.layers.9.mlp.gate_proj.weight,0.0021306858477601054,C,gsm8k
model.layers.14.mlp.down_proj.weight,0.002129338113718404,C,gsm8k
model.layers.15.mlp.down_proj.weight,0.0021146245924986338,C,gsm8k
model.layers.14.mlp.up_proj.weight,0.002043445745584904,C,gsm8k
model.layers.15.mlp.up_proj.weight,0.002039112091097195,C,gsm8k
model.layers.10.mlp.gate_proj.weight,0.0020341688552131623,C,gsm8k
model.layers.13.self_attn.q_proj.weight,0.002028698259664452,C,gsm8k
model.layers.11.mlp.gate_proj.weight,0.002019990784295563,C,gsm8k
model.layers.8.self_attn.q_proj.weight,0.001968812650450976,C,gsm8k
model.layers.5.self_attn.q_proj.weight,0.0019626565454776332,C,gsm8k
model.layers.18.mlp.gate_proj.weight,0.0019534627584410678,C,gsm8k
model.layers.12.mlp.gate_proj.weight,0.0019251678781226171,C,gsm8k
model.layers.20.mlp.up_proj.weight,0.0019106401012625913,C,gsm8k
model.layers.13.mlp.up_proj.weight,0.001903437730713146,C,gsm8k
model.layers.14.mlp.gate_proj.weight,0.001896966717746788,C,gsm8k
model.layers.13.mlp.gate_proj.weight,0.0018419564876997658,C,gsm8k
model.layers.17.mlp.gate_proj.weight,0.0018398657747790519,C,gsm8k
model.layers.1.self_attn.k_proj.weight,0.001813303449656208,C,gsm8k
model.layers.16.mlp.gate_proj.weight,0.001799190774060359,C,gsm8k
model.layers.20.mlp.gate_proj.weight,0.0017868636138397658,C,gsm8k
model.layers.15.mlp.gate_proj.weight,0.0017155167096613393,C,gsm8k
model.layers.3.self_attn.q_proj.weight,0.0015112182412243176,C,gsm8k
model.layers.6.self_attn.q_proj.weight,0.0014247373886367616,C,gsm8k
model.layers.4.self_attn.q_proj.weight,0.0012572090579775856,C,gsm8k
model.layers.7.self_attn.q_proj.weight,0.0011264511021333117,C,gsm8k
model.layers.0.mlp.up_proj.weight,0.0011230772583985527,C,gsm8k
model.layers.0.mlp.gate_proj.weight,0.0009214758097186859,C,gsm8k
model.layers.2.self_attn.q_proj.weight,0.000899091606508288,C,gsm8k
model.layers.0.self_attn.q_proj.weight,0.0007700295325700305,C,gsm8k
model.layers.1.self_attn.q_proj.weight,0.000262425597602108,C,gsm8k
model.layers.0.input_layernorm.weight,49.49364208367964,A,wikitext
model.layers.0.self_attn.v_proj.weight,24.728789136589814,A,wikitext
model.layers.0.post_attention_layernorm.weight,6.974240115222831,A,wikitext
model.layers.1.input_layernorm.weight,2.3732545614863434,A,wikitext
model.layers.3.input_layernorm.weight,1.033263716424699,A,wikitext
model.layers.4.post_attention_layernorm.weight,0.798713285922228,A,wikitext
model.layers.7.post_attention_layernorm.weight,0.7280569807626307,A,wikitext
model.layers.6.post_attention_layernorm.weight,0.7070823094594137,A,wikitext
model.layers.4.input_layernorm.weight,0.7055312874144875,A,wikitext
model.layers.2.input_layernorm.weight,0.6200845254425076,A,wikitext
model.layers.1.self_attn.v_proj.weight,0.5978943214625664,A,wikitext
model.layers.8.post_attention_layernorm.weight,0.5351765298546525,A,wikitext
model.layers.9.post_attention_layernorm.weight,0.5234784871572629,A,wikitext
model.layers.5.input_layernorm.weight,0.5159838151909449,A,wikitext
model.layers.11.post_attention_layernorm.weight,0.5153512451603698,A,wikitext
model.layers.25.input_layernorm.weight,0.48258339291472413,A,wikitext
model.layers.13.post_attention_layernorm.weight,0.4794320764873798,A,wikitext
model.layers.10.post_attention_layernorm.weight,0.46628663075292326,A,wikitext
model.layers.16.post_attention_layernorm.weight,0.4264694196851148,A,wikitext
model.layers.3.post_attention_layernorm.weight,0.4214381691175125,A,wikitext
model.layers.2.post_attention_layernorm.weight,0.41759177765925415,A,wikitext
model.layers.12.post_attention_layernorm.weight,0.41362429000340245,A,wikitext
model.layers.15.post_attention_layernorm.weight,0.3766260531968631,A,wikitext
model.layers.14.post_attention_layernorm.weight,0.3735129610237588,A,wikitext
model.layers.19.post_attention_layernorm.weight,0.36856213886009453,A,wikitext
model.layers.0.self_attn.o_proj.weight,0.3547951105501852,B,wikitext
model.layers.1.post_attention_layernorm.weight,0.3409550871947431,B,wikitext
model.layers.7.input_layernorm.weight,0.3282923401153918,B,wikitext
model.layers.18.post_attention_layernorm.weight,0.3205385474963502,B,wikitext
model.layers.6.input_layernorm.weight,0.3107299267988613,B,wikitext
model.layers.3.self_attn.v_proj.weight,0.29263456156816875,B,wikitext
model.layers.5.post_attention_layernorm.weight,0.26991236893081805,B,wikitext
model.layers.17.post_attention_layernorm.weight,0.2658543539364473,B,wikitext
model.layers.2.self_attn.v_proj.weight,0.26560783485668554,B,wikitext
model.layers.25.self_attn.k_proj.weight,0.2502207890805342,B,wikitext
model.layers.27.input_layernorm.weight,0.22202982816058162,B,wikitext
model.layers.17.input_layernorm.weight,0.21298419264773352,B,wikitext
model.layers.22.post_attention_layernorm.weight,0.21114318964828271,B,wikitext
model.layers.13.input_layernorm.weight,0.20648732356312394,B,wikitext
model.layers.21.input_layernorm.weight,0.2006458531741373,B,wikitext
model.layers.20.post_attention_layernorm.weight,0.1961094430917001,B,wikitext
model.layers.11.input_layernorm.weight,0.18538645591615932,B,wikitext
model.layers.9.input_layernorm.weight,0.17975773922262306,B,wikitext
model.layers.27.post_attention_layernorm.weight,0.1790368235039447,B,wikitext
model.layers.26.post_attention_layernorm.weight,0.17734805200658835,B,wikitext
model.layers.8.input_layernorm.weight,0.1771100537092328,B,wikitext
model.layers.10.input_layernorm.weight,0.17615468229208395,B,wikitext
model.layers.4.self_attn.v_proj.weight,0.17013022096458977,B,wikitext
model.layers.21.post_attention_layernorm.weight,0.16137419631680436,B,wikitext
model.layers.27.self_attn.k_proj.weight,0.14946706807889618,B,wikitext
model.layers.15.input_layernorm.weight,0.14127855774889517,C,wikitext
model.layers.6.self_attn.v_proj.weight,0.1371750438872065,C,wikitext
model.layers.18.input_layernorm.weight,0.13499460363588392,C,wikitext
model.layers.5.self_attn.v_proj.weight,0.13139379794786996,C,wikitext
model.layers.23.post_attention_layernorm.weight,0.13071016232303614,C,wikitext
model.layers.20.input_layernorm.weight,0.12493328994363158,C,wikitext
model.layers.24.post_attention_layernorm.weight,0.1217118368622323,C,wikitext
model.layers.7.self_attn.v_proj.weight,0.11890583626518492,C,wikitext
model.norm.weight,0.1134669623922188,C,wikitext
model.layers.12.input_layernorm.weight,0.11228713793813465,C,wikitext
model.layers.19.input_layernorm.weight,0.1075669204165024,C,wikitext
model.layers.19.self_attn.v_proj.weight,0.10408710156237551,C,wikitext
model.layers.22.input_layernorm.weight,0.0940092645344824,C,wikitext
model.embed_tokens.weight,0.09263761652042983,C,wikitext
model.layers.11.self_attn.v_proj.weight,0.09038099277252816,C,wikitext
model.layers.25.post_attention_layernorm.weight,0.08593333916845343,C,wikitext
model.layers.16.input_layernorm.weight,0.08488817456312366,C,wikitext
model.layers.14.input_layernorm.weight,0.08111632692771309,C,wikitext
model.layers.15.self_attn.v_proj.weight,0.07854761878237089,C,wikitext
model.layers.3.self_attn.k_proj.weight,0.07749472727967562,C,wikitext
model.layers.5.self_attn.k_proj.weight,0.07632181053092306,C,wikitext
model.layers.10.self_attn.v_proj.weight,0.0735615203435979,C,wikitext
model.layers.8.self_attn.v_proj.weight,0.07316322951191978,C,wikitext
model.layers.26.self_attn.k_proj.weight,0.0710086611566112,C,wikitext
model.layers.13.self_attn.v_proj.weight,0.06829999126542437,C,wikitext
model.layers.14.self_attn.v_proj.weight,0.06674178458706592,C,wikitext
model.layers.9.self_attn.v_proj.weight,0.06374774593647696,C,wikitext
