param_name,fisher_value,dataset
model.layers.24.self_attn.v_proj.weight,0.02032826671499303,wikitext
model.layers.3.mlp.up_proj.weight,0.020082548091219603,wikitext
model.layers.16.self_attn.k_proj.weight,0.019194350802081317,wikitext
model.layers.11.self_attn.o_proj.weight,0.01802411610371261,wikitext
model.layers.4.self_attn.o_proj.weight,0.017502005745427596,wikitext
model.layers.10.self_attn.o_proj.weight,0.016826458963199304,wikitext
model.layers.27.mlp.down_proj.weight,0.016797155063310736,wikitext
model.layers.5.self_attn.o_proj.weight,0.0167813472336699,wikitext
model.layers.15.self_attn.o_proj.weight,0.016727912245263116,wikitext
model.layers.27.self_attn.o_proj.weight,0.0149223437369983,wikitext
model.layers.13.self_attn.o_proj.weight,0.014893907968523004,wikitext
model.layers.7.self_attn.o_proj.weight,0.014481398871415271,wikitext
model.layers.9.self_attn.o_proj.weight,0.014176649088919172,wikitext
model.layers.4.mlp.up_proj.weight,0.013507955128716276,wikitext
model.layers.5.mlp.up_proj.weight,0.013340850943753443,wikitext
model.layers.27.self_attn.q_proj.weight,0.013164514829137866,wikitext
model.layers.0.mlp.down_proj.weight,0.012700861345592784,wikitext
model.layers.2.mlp.gate_proj.weight,0.012397168977410425,wikitext
model.layers.8.self_attn.o_proj.weight,0.011320243255340756,wikitext
model.layers.27.mlp.up_proj.weight,0.01041625006716155,wikitext
model.layers.16.self_attn.o_proj.weight,0.010406355106397314,wikitext
model.layers.18.self_attn.o_proj.weight,0.010242630865301786,wikitext
model.layers.12.self_attn.o_proj.weight,0.009959870787762762,wikitext
model.layers.6.self_attn.o_proj.weight,0.009794007735990817,wikitext
model.layers.3.mlp.gate_proj.weight,0.009598165494253408,wikitext
model.layers.3.mlp.down_proj.weight,0.009587475618066795,wikitext
model.layers.25.self_attn.q_proj.weight,0.009177353397963847,wikitext
model.layers.26.self_attn.v_proj.weight,0.008957118888550516,wikitext
model.layers.5.mlp.gate_proj.weight,0.00874033329902583,wikitext
model.layers.4.mlp.down_proj.weight,0.008443765179890761,wikitext
model.layers.14.self_attn.o_proj.weight,0.008443705751915331,wikitext
model.layers.1.self_attn.k_proj.weight,0.008251707942766492,wikitext
model.layers.20.self_attn.o_proj.weight,0.007751893922090858,wikitext
model.layers.0.mlp.up_proj.weight,0.007334927220729999,wikitext
model.layers.0.mlp.gate_proj.weight,0.007126358845046828,wikitext
